All.obs;uniqueID;Record;Country;Type;RBD;ICcode;physChemText;Note1_PhysChemText;SumMetric;ValueStd;ValueUpStd;CorSumMetric;Note2_Season;CorValueStd;CorValueUpStd;UnitUsed;Note3_stdUnits;RangeRep;ReasonRange;SalinityRange;DepthZone;Comment;Delete;physChemCategoryCW;physChemCategoryTW;Ver;cfMS
7926;9822;29;BG;BG2000;CW8;CW-BL1;Dissolved oxygen;;winter;12,6;;winter;;12,6;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7935;9831;30;BG;BG2000;CW8;CW-BL1;Dissolved oxygen;;spring;10,8;;spring;;10,8;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7944;9840;31;BG;BG2000;CW8;CW-BL1;Dissolved oxygen;;summer;8,9;;summer;;8,9;;mg/L;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7953;9849;32;BG;BG2000;CW8;CW-BL1;Dissolved oxygen;;autumn;10,3;;autumn;;10,3;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7930;9826;33;BG;BG2000;CW9;CW-BL1;Dissolved oxygen;;winter;12,6;;winter;;12,6;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7939;9835;34;BG;BG2000;CW9;CW-BL1;Dissolved oxygen;;spring;10,8;;spring;;10,8;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7948;9844;35;BG;BG2000;CW9;CW-BL1;Dissolved oxygen;;summer;8,9;;summer;;8,9;;mg/L;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7957;9853;36;BG;BG2000;CW9;CW-BL1;Dissolved oxygen;;autumn;10,3;;autumn;;10,3;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7997;9893;37;BG;BG2000;CW1N;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8006;9902;38;BG;BG2000;CW1N;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8015;9911;39;BG;BG2000;CW1N;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8024;9920;40;BG;BG2000;CW1N;CW-BL1;Nitrate as N;;autumn;0,080025807;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7999;9895;41;BG;BG2000;CW2N;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8008;9904;42;BG;BG2000;CW2N;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8017;9913;43;BG;BG2000;CW2N;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8026;9922;44;BG;BG2000;CW2N;CW-BL1;Nitrate as N;;autumn;0,080025807;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7996;9892;45;BG;BG2000;CW3;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8005;9901;46;BG;BG2000;CW3;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
