All.obs;GIG;Cat;ICcode.TRAC;Country;NatType;physChemText;SumMetric;ValueStd;ValueUpStd;UnitUsed;RangeRep;ReasonRange;DepthZone;Ver.r;MetricType
11761;BAL;CW;CW-BC1;SE;19;TP;summer;10.22134113;11.15055396;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11762;BAL;CW;CW-BC1;SE;20;TP;summer;8.98239069;12.07976679;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11763;BAL;CW;CW-BC1;SE;21;TP;summer;8.98239069;12.07976679;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11683;BAL;CW;CW-BC1;SE;16;TN;summer;0.29554137;0.37537956;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11684;BAL;CW;CW-BC1;SE;17;TN;summer;0.29554137;0.37537956;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
5012;BAL;CW;CW-BC1-A;FI;FIVHA3;TP;summer;20;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
5013;BAL;CW;CW-BC1-A;FI;FIVHA3;TP;summer;14;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
4909;BAL;CW;CW-BC1-A;FI;FIVHA3;Secchi disk depth;summer;4.1;NA;m;FALSE;NA;Surf;Rver2;seasonal
4908;BAL;CW;CW-BC1-A;FI;FIVHA3;Secchi disk depth;summer;3.3;NA;m;FALSE;NA;Surf;Rver2;seasonal
4962;BAL;CW;CW-BC1-A;FI;FIVHA3;TN;summer;0.315;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
4905;BAL;CW;CW-BC1-A;FI;FIVHA3;Secchi disk depth;summer;3.7;NA;m;FALSE;NA;Surf;Rver2;seasonal
4963;BAL;CW;CW-BC1-A;FI;FIVHA3;TN;summer;0.275;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
4958;BAL;CW;CW-BC1-A;FI;FIVHA3;TN;summer;0.325;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
5009;BAL;CW;CW-BC1-A;FI;FIVHA3;TP;summer;13;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
4904;BAL;CW;CW-BC1-A;FI;FIVHA3;Secchi disk depth;summer;2.3;NA;m;FALSE;NA;Surf;Rver2;seasonal
5008;BAL;CW;CW-BC1-A;FI;FIVHA3;TP;summer;17;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
4710;BAL;CW;CW-BC1-B;FI;FIVHA4;Secchi disk depth;summer;2.4;NA;m;FALSE;NA;Surf;Rver2;seasonal
4711;BAL;CW;CW-BC1-B;FI;FIVHA4;Secchi disk depth;summer;3.3;NA;m;FALSE;NA;Surf;Rver2;seasonal
4760;BAL;CW;CW-BC1-B;FI;FIVHA4;TN;summer;0.34;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
4761;BAL;CW;CW-BC1-B;FI;FIVHA4;TN;summer;0.315;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
4802;BAL;CW;CW-BC1-B;FI;FIVHA4;TP;summer;14;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
4803;BAL;CW;CW-BC1-B;FI;FIVHA4;TP;summer;11;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
5350;BAL;CW;CW-BC1-B;FI;FIVHA5;Secchi disk depth;summer;3.3;NA;m;FALSE;NA;Surf;Rver2;seasonal
5399;BAL;CW;CW-BC1-B;FI;FIVHA5;TN;summer;0.34;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
5400;BAL;CW;CW-BC1-B;FI;FIVHA5;TN;summer;0.315;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
5439;BAL;CW;CW-BC1-B;FI;FIVHA5;TP;summer;14;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
5440;BAL;CW;CW-BC1-B;FI;FIVHA5;TP;summer;11;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
5441;BAL;CW;CW-BC1-B;FI;FIVHA6;Secchi disk depth;summer;2.4;NA;m;FALSE;NA;Surf;Rver2;seasonal
5442;BAL;CW;CW-BC1-B;FI;FIVHA6;Secchi disk depth;summer;3.3;NA;m;FALSE;NA;Surf;Rver2;seasonal
5491;BAL;CW;CW-BC1-B;FI;FIVHA6;TN;summer;0.34;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
5492;BAL;CW;CW-BC1-B;FI;FIVHA6;TN;summer;0.315;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
5530;BAL;CW;CW-BC1-B;FI;FIVHA6;TP;summer;14;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
5531;BAL;CW;CW-BC1-B;FI;FIVHA6;TP;summer;11;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
4959;BAL;CW;CW-BC1-B;FI;FIVHA3;TN;summer;0.28;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
4960;BAL;CW;CW-BC1-B;FI;FIVHA3;TN;summer;0.34;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
4961;BAL;CW;CW-BC1-B;FI;FIVHA3;TN;summer;0.315;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
5011;BAL;CW;CW-BC1-B;FI;FIVHA3;TP;summer;11;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
4906;BAL;CW;CW-BC1-B;FI;FIVHA3;Secchi disk depth;summer;2.4;NA;m;FALSE;NA;Surf;Rver2;seasonal
4907;BAL;CW;CW-BC1-B;FI;FIVHA3;Secchi disk depth;summer;3.3;NA;m;FALSE;NA;Surf;Rver2;seasonal
5349;BAL;CW;CW-BC1-B;FI;FIVHA5;Secchi disk depth;summer;2.4;NA;m;FALSE;NA;Surf;Rver2;seasonal
5010;BAL;CW;CW-BC1-B;FI;FIVHA3;TP;summer;14;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
4855;BAL;CW;CW-BC3;FI;FIVHA2;TN;summer;0.35;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
11238;BAL;CW;CW-BC3;EE;EE1;Orthophosphate;AA-EQS;NA;NA;µgP/L;FALSE;NA;NA;Rver2;annual
4901;BAL;CW;CW-BC3;FI;FIVHA2;TP;summer;20;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
