"All.obs","uniqueID","TypeCode","Country","RBD","physChemQECode","physChemQE","physChemCategoryRW","physChemCategoryLW","physChemValue","StandardValue","UnitOfMeasure","physChemStandard2","physChemGMBoundary","surfaceWaterBodyIntercalibrationTypeCode","surfaceWaterBodyIntercalibrationType","Type","Value","ValueUp","physChemText","Factor","UnitUsed","ValueStd","ValueUpStd","physChemCategoryCW","ICcodeCW","ICtypeCW","MarineRegion","GIG","physChemCategoryTW","ICcodeTW","ICtypeTW","Ver"
1,554,"R5|NL33DA","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","Yes","No","<= 25","25","Cel","MAC-EQS","Yes","","","R5","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
2,555,"R5|NL33DA","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","Yes","No",">= 70 | <= 120","70-120","%{oxygenSaturation}","AA-EQS","Yes","","","R5","70","120","% oxygen saturation",1,"PC02",70,120,"No","","","","","No","","","Ver7e"
3,556,"R5|NL33DA","NL","NLEM",11,"QE3-1-5-2 - pH","Yes","No",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","R5","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
4,557,"R5|NL33DA","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","Yes","No","<= 30","30","mg/L","AA-EQS","Yes","","","R5","30",NA,"Chloride",1,"mg/L",30,NA,"No","","","","","No","","","Ver7e"
5,558,"R5|NL33DA","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","Yes","No","<= 0.1","0.1","mg{P}/L","AA-EQS","Yes","","","R5","0.1",NA,"TP",1000,"ugP/L",100,NA,"No","","","","","No","","","Ver7e"
6,559,"R5|NL33DA","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","Yes","No","<= 2.2","2.2","mg{N}/L","AA-EQS","Yes","","","R5","2.2",NA,"TN",1,"mgN/L",2.2,NA,"No","","","","","No","","","Ver7e"
7,560,"M6a|NL33DW_2","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.4","0.4","m","AA-EQS","Yes","","","M6A","0.4",NA,"Secchi disk depth",1,"m",0.4,NA,"No","","","","","No","","","Ver7e"
8,561,"M6a|NL33DW_2","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M6A","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
9,562,"M6a|NL33DW_2","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M6A","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
10,563,"M6a|NL33DW_2","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M6A","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
11,564,"M6a|NL33DW_2","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 400","400","mg/L","AA-EQS","Yes","","","M6A","400",NA,"Chloride",1,"mg/L",400,NA,"No","","","","","No","","","Ver7e"
12,565,"M6a|NL33DW_2","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.15","0.15","mg{P}/L","AA-EQS","Yes","","","M6A","0.15",NA,"TP",1000,"ugP/L",150,NA,"No","","","","","No","","","Ver7e"
13,566,"M6a|NL33DW_2","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 4","4","mg{N}/L","AA-EQS","Yes","","","M6A","4",NA,"TN",1,"mgN/L",4,NA,"No","","","","","No","","","Ver7e"
14,567,"M7b|NL33EW_2","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.4","0.4","m","AA-EQS","Yes","","","M7B","0.4",NA,"Secchi disk depth",1,"m",0.4,NA,"No","","","","","No","","","Ver7e"
15,568,"M7b|NL33EW_2","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M7B","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
16,569,"M7b|NL33EW_2","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M7B","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
17,570,"M7b|NL33EW_2","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M7B","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
18,571,"M7b|NL33EW_2","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 400","400","mg/L","AA-EQS","Yes","","","M7B","400",NA,"Chloride",1,"mg/L",400,NA,"No","","","","","No","","","Ver7e"
19,572,"M7b|NL33EW_2","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.2","0.2","mg{P}/L","AA-EQS","Yes","","","M7B","0.2",NA,"TP",1000,"ugP/L",200,NA,"No","","","","","No","","","Ver7e"
20,573,"M7b|NL33EW_2","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 4","4","mg{N}/L","AA-EQS","Yes","","","M7B","4",NA,"TN",1,"mgN/L",4,NA,"No","","","","","No","","","Ver7e"
21,574,"M6a|NL33FI_2","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.3","0.3","m","AA-EQS","Yes","","","M6A","0.3",NA,"Secchi disk depth",1,"m",0.3,NA,"No","","","","","No","","","Ver7e"
22,575,"M6a|NL33FI_2","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M6A","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
23,576,"M6a|NL33FI_2","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M6A","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
24,577,"M6a|NL33FI_2","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M6A","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
25,578,"M6a|NL33FI_2","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 400","400","mg/L","AA-EQS","Yes","","","M6A","400",NA,"Chloride",1,"mg/L",400,NA,"No","","","","","No","","","Ver7e"
26,579,"M6a|NL33FI_2","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.2","0.2","mg{P}/L","AA-EQS","Yes","","","M6A","0.2",NA,"TP",1000,"ugP/L",200,NA,"No","","","","","No","","","Ver7e"
27,580,"M6a|NL33FI_2","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 4","4","mg{N}/L","AA-EQS","Yes","","","M6A","4",NA,"TN",1,"mgN/L",4,NA,"No","","","","","No","","","Ver7e"
28,581,"M14|NL33HM","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.3","0.3","m","AA-EQS","Yes","","","M14","0.3",NA,"Secchi disk depth",1,"m",0.3,NA,"No","","","","","No","","","Ver7e"
29,582,"M14|NL33HM","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M14","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
30,583,"M14|NL33HM","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M14","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
31,584,"M14|NL33HM","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M14","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
32,585,"M14|NL33HM","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 400","400","mg/L","AA-EQS","Yes","","","M14","400",NA,"Chloride",1,"mg/L",400,NA,"No","","","","","No","","","Ver7e"
33,586,"M14|NL33HM","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.2","0.2","mg{P}/L","AA-EQS","Yes","","","M14","0.2",NA,"TP",1000,"ugP/L",200,NA,"No","","","","","No","","","Ver7e"
34,587,"M14|NL33HM","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 4","4","mg{N}/L","AA-EQS","Yes","","","M14","4",NA,"TN",1,"mgN/L",4,NA,"No","","","","","No","","","Ver7e"
35,588,"R5|NL33HU","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","Yes","No","<= 25","25","Cel","MAC-EQS","Yes","","","R5","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
36,589,"R5|NL33HU","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","Yes","No",">= 70 | <= 120","70-120","%{oxygenSaturation}","AA-EQS","Yes","","","R5","70","120","% oxygen saturation",1,"PC02",70,120,"No","","","","","No","","","Ver7e"
37,590,"R5|NL33HU","NL","NLEM",11,"QE3-1-5-2 - pH","Yes","No",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","R5","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
38,591,"R5|NL33HU","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","Yes","No","<= 30","30","mg/L","AA-EQS","Yes","","","R5","30",NA,"Chloride",1,"mg/L",30,NA,"No","","","","","No","","","Ver7e"
39,592,"R5|NL33HU","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","Yes","No","<= 0.1","0.1","mg{P}/L","AA-EQS","Yes","","","R5","0.1",NA,"TP",1000,"ugP/L",100,NA,"No","","","","","No","","","Ver7e"
40,593,"R5|NL33HU","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","Yes","No","<= 3.5","3.5","mg{N}/L","AA-EQS","Yes","","","R5","3.5",NA,"TN",1,"mgN/L",3.5,NA,"No","","","","","No","","","Ver7e"
41,594,"M6a|NL33HV_2","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.4","0.4","m","AA-EQS","Yes","","","M6A","0.4",NA,"Secchi disk depth",1,"m",0.4,NA,"No","","","","","No","","","Ver7e"
42,595,"M6a|NL33HV_2","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M6A","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
43,596,"M6a|NL33HV_2","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M6A","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
44,597,"M6a|NL33HV_2","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M6A","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
45,598,"M6a|NL33HV_2","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 100","100","mg/L","AA-EQS","Yes","","","M6A","100",NA,"Chloride",1,"mg/L",100,NA,"No","","","","","No","","","Ver7e"
46,599,"M6a|NL33HV_2","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.15","0.15","mg{P}/L","AA-EQS","Yes","","","M6A","0.15",NA,"TP",1000,"ugP/L",150,NA,"No","","","","","No","","","Ver7e"
47,600,"M6a|NL33HV_2","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 3","3","mg{N}/L","AA-EQS","Yes","","","M6A","3",NA,"TN",1,"mgN/L",3,NA,"No","","","","","No","","","Ver7e"
48,601,"M6a|NL33KW_2","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.4","0.4","m","AA-EQS","Yes","","","M6A","0.4",NA,"Secchi disk depth",1,"m",0.4,NA,"No","","","","","No","","","Ver7e"
49,602,"M6a|NL33KW_2","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M6A","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
50,603,"M6a|NL33KW_2","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M6A","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
51,604,"M6a|NL33KW_2","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M6A","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
52,605,"M6a|NL33KW_2","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 100","100","mg/L","AA-EQS","Yes","","","M6A","100",NA,"Chloride",1,"mg/L",100,NA,"No","","","","","No","","","Ver7e"
53,606,"M6a|NL33KW_2","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.15","0.15","mg{P}/L","AA-EQS","Yes","","","M6A","0.15",NA,"TP",1000,"ugP/L",150,NA,"No","","","","","No","","","Ver7e"
54,607,"M6a|NL33KW_2","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 3.5","3.5","mg{N}/L","AA-EQS","Yes","","","M6A","3.5",NA,"TN",1,"mgN/L",3.5,NA,"No","","","","","No","","","Ver7e"
55,608,"R12|NL33MP","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","Yes","No","<= 25","25","Cel","MAC-EQS","Yes","","","R12","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
56,609,"R12|NL33MP","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","Yes","No",">= 70 | <= 120","70-120","%{oxygenSaturation}","AA-EQS","Yes","","","R12","70","120","% oxygen saturation",1,"PC02",70,120,"No","","","","","No","","","Ver7e"
57,610,"R12|NL33MP","NL","NLEM",11,"QE3-1-5-2 - pH","Yes","No",">= 4.5 | <= 6.5","4.5-6.5","[pH]","MAC-EQS","Yes","","","R12","4.5","6.5","pH",1,"pH",4.5,6.5,"No","","","","","No","","","Ver7e"
58,611,"R12|NL33MP","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","Yes","No","<= 60","60","mg/L","AA-EQS","Yes","","","R12","60",NA,"Chloride",1,"mg/L",60,NA,"No","","","","","No","","","Ver7e"
59,612,"R12|NL33MP","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","Yes","No","<= 0.15","0.15","mg{P}/L","AA-EQS","Yes","","","R12","0.15",NA,"TP",1000,"ugP/L",150,NA,"No","","","","","No","","","Ver7e"
60,613,"R12|NL33MP","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","Yes","No","<= 3","3","mg{N}/L","AA-EQS","Yes","","","R12","3",NA,"TN",1,"mgN/L",3,NA,"No","","","","","No","","","Ver7e"
61,614,"M7b|NL33NW_2","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.4","0.4","m","AA-EQS","Yes","","","M7B","0.4",NA,"Secchi disk depth",1,"m",0.4,NA,"No","","","","","No","","","Ver7e"
62,615,"M7b|NL33NW_2","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M7B","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
63,616,"M7b|NL33NW_2","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M7B","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
64,617,"M7b|NL33NW_2","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M7B","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
65,618,"M7b|NL33NW_2","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 100","100","mg/L","AA-EQS","Yes","","","M7B","100",NA,"Chloride",1,"mg/L",100,NA,"No","","","","","No","","","Ver7e"
66,619,"M7b|NL33NW_2","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.2","0.2","mg{P}/L","AA-EQS","Yes","","","M7B","0.2",NA,"TP",1000,"ugP/L",200,NA,"No","","","","","No","","","Ver7e"
67,620,"M7b|NL33NW_2","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 4","4","mg{N}/L","AA-EQS","Yes","","","M7B","4",NA,"TN",1,"mgN/L",4,NA,"No","","","","","No","","","Ver7e"
68,621,"M6a|NL33OA_2","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.3","0.3","m","AA-EQS","Yes","","","M6A","0.3",NA,"Secchi disk depth",1,"m",0.3,NA,"No","","","","","No","","","Ver7e"
69,622,"M6a|NL33OA_2","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M6A","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
70,623,"M6a|NL33OA_2","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M6A","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
71,624,"M6a|NL33OA_2","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M6A","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
72,625,"M6a|NL33OA_2","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 400","400","mg/L","AA-EQS","Yes","","","M6A","400",NA,"Chloride",1,"mg/L",400,NA,"No","","","","","No","","","Ver7e"
73,626,"M6a|NL33OA_2","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.15","0.15","mg{P}/L","AA-EQS","Yes","","","M6A","0.15",NA,"TP",1000,"ugP/L",150,NA,"No","","","","","No","","","Ver7e"
74,627,"M6a|NL33OA_2","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 4","4","mg{N}/L","AA-EQS","Yes","","","M6A","4",NA,"TN",1,"mgN/L",4,NA,"No","","","","","No","","","Ver7e"
75,628,"M14|NL33OM","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.6","0.6","m","AA-EQS","Yes","","","M14","0.6",NA,"Secchi disk depth",1,"m",0.6,NA,"No","","","","","No","","","Ver7e"
76,629,"M14|NL33OM","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M14","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
77,630,"M14|NL33OM","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M14","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
78,631,"M14|NL33OM","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M14","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
79,632,"M14|NL33OM","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 200","200","mg/L","AA-EQS","Yes","","","M14","200",NA,"Chloride",1,"mg/L",200,NA,"No","","","","","No","","","Ver7e"
80,633,"M14|NL33OM","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.1","0.1","mg{P}/L","AA-EQS","Yes","","","M14","0.1",NA,"TP",1000,"ugP/L",100,NA,"No","","","","","No","","","Ver7e"
81,634,"M14|NL33OM","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 4","4","mg{N}/L","AA-EQS","Yes","","","M14","4",NA,"TN",1,"mgN/L",4,NA,"No","","","","","No","","","Ver7e"
82,635,"M14|NL33SM","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.6","0.6","m","AA-EQS","Yes","","","M14","0.6",NA,"Secchi disk depth",1,"m",0.6,NA,"No","","","","","No","","","Ver7e"
83,636,"M14|NL33SM","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M14","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
84,637,"M14|NL33SM","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M14","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
85,638,"M14|NL33SM","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M14","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
86,639,"M14|NL33SM","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","No","Yes","<= 200","200","mg/L","AA-EQS","Yes","","","M14","200",NA,"Chloride",1,"mg/L",200,NA,"No","","","","","No","","","Ver7e"
87,640,"M14|NL33SM","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","No","Yes","<= 0.1","0.1","mg{P}/L","AA-EQS","Yes","","","M14","0.1",NA,"TP",1000,"ugP/L",100,NA,"No","","","","","No","","","Ver7e"
88,641,"M14|NL33SM","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","No","Yes","<= 3.5","3.5","mg{N}/L","AA-EQS","Yes","","","M14","3.5",NA,"TN",1,"mgN/L",3.5,NA,"No","","","","","No","","","Ver7e"
89,642,"R7|NL33WN","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","Yes","No","<= 25","25","Cel","MAC-EQS","Yes","","","R7","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
90,643,"R7|NL33WN","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","Yes","No",">= 70 | <= 120","70-120","%{oxygenSaturation}","AA-EQS","Yes","","","R7","70","120","% oxygen saturation",1,"PC02",70,120,"No","","","","","No","","","Ver7e"
91,644,"R7|NL33WN","NL","NLEM",11,"QE3-1-5-2 - pH","Yes","No",">= 6 | <= 8.5","6-8.5","[pH]","MAC-EQS","Yes","","","R7","6","8.5","pH",1,"pH",6,8.5,"No","","","","","No","","","Ver7e"
92,645,"R7|NL33WN","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","Yes","No","<= 200","200","mg/L","AA-EQS","Yes","","","R7","200",NA,"Chloride",1,"mg/L",200,NA,"No","","","","","No","","","Ver7e"
93,646,"R7|NL33WN","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","Yes","No","<= 0.15","0.15","mg{P}/L","AA-EQS","Yes","","","R7","0.15",NA,"TP",1000,"ugP/L",150,NA,"No","","","","","No","","","Ver7e"
94,647,"R7|NL33WN","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","Yes","No","<= 5","5","mg{N}/L","AA-EQS","Yes","","","R7","5",NA,"TN",1,"mgN/L",5,NA,"No","","","","","No","","","Ver7e"
95,648,"R5|NL33WZ","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","Yes","No","<= 25","25","Cel","MAC-EQS","Yes","","","R5","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
96,649,"R5|NL33WZ","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","Yes","No",">= 70 | <= 120","70-120","%{oxygenSaturation}","AA-EQS","Yes","","","R5","70","120","% oxygen saturation",1,"PC02",70,120,"No","","","","","No","","","Ver7e"
97,650,"R5|NL33WZ","NL","NLEM",11,"QE3-1-5-2 - pH","Yes","No",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","R5","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
98,651,"R5|NL33WZ","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","Yes","No","<= 60","60","mg/L","AA-EQS","Yes","","","R5","60",NA,"Chloride",1,"mg/L",60,NA,"No","","","","","No","","","Ver7e"
99,652,"R5|NL33WZ","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","Yes","No","<= 0.1","0.1","mg{P}/L","AA-EQS","Yes","","","R5","0.1",NA,"TP",1000,"ugP/L",100,NA,"No","","","","","No","","","Ver7e"
100,653,"R5|NL33WZ","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","Yes","No","<= 3","3","mg{N}/L","AA-EQS","Yes","","","R5","3",NA,"TN",1,"mgN/L",3,NA,"No","","","","","No","","","Ver7e"
101,654,"M14|NL33ZM","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.6","0.6","m","AA-EQS","Yes","","","M14","0.6",NA,"Secchi disk depth",1,"m",0.6,NA,"No","","","","","No","","","Ver7e"
102,655,"M14|NL33ZM","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M14","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
103,656,"M14|NL33ZM","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M14","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
104,657,"M14|NL33ZM","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M14","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
